ticker,company_name,market_cap_usd_mil,ipo_date,ipo_value_usd_mil,sector,lead_underwriters,ticker_hk
TIGR,UP Fintech Holding Ltd.,1376,2019-03,104.0,Finance,"Citigroup Global Markets, Deutsche Bank, AMTD Global Markets, China Merchants Securities (HK), Top Capital Partners",
MOMO,Hello Group Inc.,1317,2014-12,216.0,Technology,"Morgan Stanley, Credit Suisse, J.P. Morgan, China Renaissance Securities",
DQ,"Daqo New Energy
Corp.",1253,2010-10,76.0,Technology,Morgan Stanley,
JKS,"JinkoSolar Holding
Co., Ltd.",1117,2010-05,64.0,Technology,Credit Suisse,
BGM,BGM Group Ltd,1043,2021-01,25.0,Health Care Services,"Univest Securities Morgan Stanley, Credit Suisse",
HUYA,HUYA Inc.,919,2018-05,180.0,Technology,"Credit Suisse Securities, Goldman Sachs, Citigroup Global Markets, Jefferies",
GOTU,"Gaotu Techedu, Inc.",913,2019-06,208.0,Consumer Services,"Credit Suisse, Deutsche Bank, Barclays Capital Inc., CLSA",
NOAH,Noah Holdings Ltd.,830,2010-11,101.0,Finance,"Merrill Lynch, JP Morgan Chase",HK
UXIN,Uxin Limited,791,2018-06,225.0,"Business
Services","CICC, China Renaissance
Securities, Goldman Sachs, JP
Morgan Chase, Morgan Stanley",
RERE,ATRenew Inc.,747,2021-06,227.0,"Consumer
Services","Goldman Sachs, Bank of America
Securities, China Renaissance
Securities (Hong Kong) Ltd.",
MSC,"Studio City
International
Holdings Limited",738,2018-10,359.0,"Consumer
Services","Deutsche Bank, Credit Suisse,
Morgan Stanley",
DDL,"Dingdong (Cayman)
Limited",727,2021-06,96.0,"Consumer Non-
Durables","Morgan Stanley, Bank of America
Securities, Credit Suisse",
CSIQ,Canadian Solar Inc.,678,2006-11,116.0,Technology,"Deutsche Bank, Lehman Brothers",
YALA,Yalla,637,2020-09,140.0,Technology,"Morgan Stanley, Haitong
International",
GCT,GigaCloud Technology Inc,629,2022-08,36.0,Technology,Aegis Capital Corp.,
FLX,BingEx Ltd,608,2024-10,66.0,Industrials,"Deutsche Bank Securities Inc., China International Capital Corporation Hong Kong Securities Limited, CLSA Limited",
